Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C0805,103.600000,-146.480000,90.000000,top
C2,22pF,C0805,110.337300,-147.152100,90.000000,top
C4,1uF,C0402,102.086100,-133.680500,90.000000,top
C5,100nF,C0402,101.497000,-142.028800,90.000000,top
C6,4.7uF,C0402,107.600000,-127.020000,90.000000,top
C7,100nF,C0402,105.883600,-130.281700,90.000000,top
C8,100nF,C0402,110.688400,-133.608100,90.000000,top
C9,4.7uF,C0402,104.854300,-128.630900,90.000000,top
C10,100nF,C0402,114.300000,-145.500000,90.000000,top
C11,100nF,C0402,107.188000,-133.431800,180.000000,top
C12,100nF,C0402,101.126800,-137.664800,90.000000,top
C13,100nF,C0402,114.300000,-147.500000,90.000000,top
C14,1uF,C0402,111.716300,-145.290700,90.000000,top
C15,22pF,C0805,107.263500,-121.928800,90.000000,top
C16,22pF,C0805,110.969800,-128.006800,-90.000000,top
C17,100nF,C0402,107.143300,-118.786000,90.000000,top
C18,1uF,C0402,112.792500,-126.888800,0.000000,top
C19,100nF,C0402,105.050000,-124.505600,0.000000,top
C20,100nF,C0402,106.511700,-124.971500,90.000000,top
C21,100nF,C0402,101.768500,-150.753900,90.000000,top
C22,10uF,C0805,104.550000,-119.936000,90.000000,top
C23,1uF,C0402,102.300000,-121.996800,90.000000,top
C24,1uF,C0402,102.300000,-130.777600,90.000000,top
C25,100nF,C0402,100.992300,-152.639300,90.000000,top
C26,1uF,C0402,103.636800,-161.715500,90.000000,top
C27,100nF,C0402,111.814400,-137.114800,90.000000,top
D1,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,113.572600,-139.926300,-90.000000,top
D2,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,113.521400,-133.200400,-90.000000,top
D10,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,106.998700,-114.909900,0.000000,top
D11,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,106.391300,-159.799900,0.000000,top
J1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,107.000000,-104.115000,180.000000,top
J2,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,107.000000,-170.885000,0.000000,top
L1,3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,108.103000,-131.420000,0.000000,top
R1,10k,R0402,101.192900,-144.083200,90.000000,top
R2,4.7k,R0402,111.375000,-131.744900,90.000000,top
R3,4.7k,R0402,112.329000,-130.296700,90.000000,top
R4,4.7k,R0402,111.852200,-134.797400,90.000000,top
R5,10k,R0402,112.873100,-128.468700,0.000000,top
R6,5.1k,R0402,109.144300,-112.985900,-90.000000,top
R7,5.1k,R0402,104.756900,-112.984100,-90.000000,top
R8,47k,R0603,101.300000,-160.883200,90.000000,top
R9,10k,R0402,100.500000,-154.615100,90.000000,top
R10,1k,R0402,112.949600,-143.282000,90.000000,top
R11,1k,R0402,113.052000,-136.565600,90.000000,top
R12,33,R0402,105.200000,-126.880000,90.000000,top
R13,1k,R0402,104.949400,-133.360800,180.000000,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,112.435600,-160.035600,180.000000,top
U1,RP2354A,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,106.768800,-138.728700,0.000000,top
U2,FUSB302BMPX,MLP-14_L2.5-W2.5-P0.50-BL-EP,110.233400,-154.184200,90.000000,top
U3,CH334F,QFN-24_L4.0-W4.0-P0.50-BL-EP2.8,110.985500,-122.862200,0.000000,top
U5,RT9013-33GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,102.300000,-114.560000,90.000000,top
U6,TLV70212DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,102.300000,-126.835200,90.000000,top
U8,"74AVC1T45GW,125",SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,103.995100,-150.929700,0.000000,top
U9,"74AVC1T45GW,125",SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,107.199900,-151.039500,0.000000,top
U10,AP22653W6-7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,103.014100,-155.835200,90.000000,top
Y1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,106.600000,-146.480000,180.000000,top
Y2,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,110.995900,-118.459600,0.000000,top
