Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C0805,103.600000,-133.200000,90.000000,bottom
C2,22pF,C0805,110.500000,-133.500000,90.000000,bottom
C4,1uF,C0402,104.300000,-125.500000,90.000000,bottom
C5,100nF,C0402,104.300000,-128.699999,90.000000,bottom
C8,100nF,C0402,109.300000,-125.500000,90.000000,bottom
C10,100nF,C0402,109.300000,-128.699999,90.000000,bottom
C11,100nF,C0402,106.800000,-124.500000,0.000000,bottom
C12,100nF,C0402,103.200000,-127.100000,90.000000,bottom
C15,22pF,C0805,107.900000,-115.327999,90.000000,bottom
C16,22pF,C0805,110.000000,-120.422400,-90.000000,bottom
C27,100nF,C0402,110.400000,-127.100000,90.000000,bottom
R2,4.7k,R0402,111.500000,-122.624000,90.000000,bottom
R3,4.7k,R0402,112.600000,-122.624000,90.000000,bottom
R4,4.7k,R0402,111.500000,-124.928000,90.000000,bottom
R13,1k,R0402,105.250000,-124.400000,0.000000,bottom
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,107.000000,-141.100000,0.000000,bottom
Y1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,106.600000,-133.200000,0.000000,bottom
Y2,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,110.700000,-115.327999,180.000000,bottom
C6,4.7uF,C0402,107.600000,-119.300000,90.000000,top
C7,100nF,C0402,107.000000,-121.300000,90.000000,top
C9,4.7uF,C0402,105.200000,-120.800000,90.000000,top
C13,100nF,C0402,111.200000,-129.792000,90.000000,top
C14,1uF,C0402,111.900000,-131.967999,90.000000,top
C17,100nF,C0402,107.300000,-114.047999,90.000000,top
C18,1uF,C0402,111.600000,-119.232000,0.000000,top
C19,100nF,C0402,105.050000,-117.503999,0.000000,top
C20,100nF,C0402,106.600000,-117.632000,90.000000,top
C21,100nF,C0402,102.400000,-136.576000,90.000000,top
C22,10uF,C0805,104.550000,-114.240000,90.000000,top
C23,1uF,C0402,102.300000,-115.712000,90.000000,top
C24,1uF,C0402,102.300000,-121.984000,90.000000,top
C25,100nF,C0402,101.300000,-137.600000,90.000000,top
C26,1uF,C0402,105.100000,-142.335999,90.000000,top
D1,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,112.600000,-128.512000,-90.000000,top
D2,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,112.600000,-123.008000,-90.000000,top
D10,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,107.000000,-110.400000,0.000000,top
D11,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,107.000000,-141.184000,0.000000,top
J1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,107.000000,-105.090000,180.000000,top
J2,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,107.000000,-149.870000,0.000000,top
L1,3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,109.300000,-121.000000,0.000000,top
R1,10k,R0402,102.300000,-130.500000,90.000000,top
R5,10k,R0402,112.250000,-120.448000,0.000000,top
R6,5.1k,R0402,108.900000,-109.400000,-90.000000,top
R7,5.1k,R0402,105.000000,-109.400000,-90.000000,top
R8,47k,R0603,101.300000,-143.488000,90.000000,top
R9,10k,R0402,101.000000,-140.416000,90.000000,top
R10,1k,R0402,112.600000,-131.264000,90.000000,top
R11,1k,R0402,112.600000,-125.760000,90.000000,top
R12,33,R0402,105.200000,-119.200000,90.000000,top
U1,RP2354A,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,106.800000,-127.100000,0.000000,top
U2,FUSB302BMPX,MLP-14_L2.5-W2.5-P0.50-BL-EP,109.800000,-139.648000,90.000000,top
U3,CH334F,QFN-24_L4.0-W4.0-P0.50-BL-EP2.8,110.700000,-115.327999,0.000000,top
U5,RT9013-33GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,102.300000,-110.400000,90.000000,top
U6,TLV70212DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,102.300000,-119.167999,90.000000,top
U8,"74AVC1T45GW,125",SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,104.000000,-136.447999,0.000000,top
U9,"74AVC1T45GW,125",SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,106.300000,-136.447999,0.000000,top
U10,AP22653W6-7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,103.200000,-140.864000,90.000000,top
