Designator,Comment,Footprint,Qty,LCSC Part,MPN
"C1,C2,C15,C16",22pF,C0805,4,C1804,
"C4,C14,C23,C24,C26,C29,C37,C51,C54",1uF,C0402,9,C52923,
"C5,C8,C10,C11,C12,C13,C20,C21,C25,C27,C28,C30,C31,C32,C33,C34,C35,C36,C39,C41,C42,C43,C44,C47,C48,C49,C50,C52,C55,C56",100nF,C0402,30,C1525,
"C6,C7,C9",4.7uF,C0402,3,C368809,
"C22,C38,C40,C45,C46,C53",10uF,C0805,6,C15850,
"D1,D2",KT-0603R,LED-SMD_L1.6-W0.8-R-RD,2,C2286,
"D10,D11",USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,C7519,
"D12,D13,D14,D15",TPD4E05U06DQAR_C138714,USON-10_L2.5-W1.0-P0.50-BL,4,C138714,TPD4E05U06DQAR
"J1,J2",TYPE-C24PQT,USB-C-SMD_TYPE-C-24P-QT,2,C2681555,
"L1,L2",3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,2,C42411119,
"R1,R9,R21,R22,R23,R24",10k,R0402,6,C25744,
"R2,R3,R4",4.7k,R0402,3,C25900,
"R8,R17,R19",47k,R0603,3,C25819,
"R10,R11,R13",1k,R0402,3,C11702,
R12,33,R0402,1,C25105,
R14,910k,R0402,1,C25800,
R15,200k,R0402,1,C25764,
R16,20k,R0402,1,C25765,
"R18,R20,R25",100k,R0402,3,C25741,
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,1,C318884,
U1,RP2354A,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,1,C41378174,
U2,FUSB302BMPX,MLP-14_L2.5-W2.5-P0.50-BL-EP,1,C132291,
U3,HD3SS3220RNHR,WQFN-30_L4.5-W2.5-P0.4-BL-EP,1,C165155,
U4,GL3510-OSY52,QFN-64_L8.0-W8.0-P0.40-BL-EP5.4,1,C7501408,
U5,RT9013-33GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,C47773,
U6,TLV70212DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,C81462,
U7,HD3SS3212IRKSR,DHVQFN-20_L4.5-W2.5-P0.50-BL-EP,1,C544517,
"U8,U9","74AVC1T45GW,125",SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,2,C282330,
U10,AP22653W6-7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,C2158037,
Y1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,C9002,
Y2,25MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,C9006,X322525MOB4SI
