Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C0805,113.050000,-171.200000,90.000000,top
C2,22pF,C0805,119.000000,-171.200000,90.000000,top
C4,1uF,C0402,113.400000,-174.600000,0.000000,top
C5,100nF,C0402,115.400000,-174.600000,0.000000,top
C6,4.7uF,C0402,114.900000,-160.100000,0.000000,top
C7,4.7uF,C0402,120.100000,-160.700000,0.000000,top
C8,100nF,C0402,117.400000,-174.600000,0.000000,top
C9,4.7uF,C0402,120.900000,-165.600000,90.000000,top
C10,100nF,C0402,119.300000,-177.200000,0.000000,top
C11,100nF,C0402,113.400000,-176.900000,0.000000,top
C12,100nF,C0402,115.400000,-176.900000,0.000000,top
C13,100nF,C0402,103.500000,-172.500000,90.000000,top
C14,1uF,C0402,103.500000,-175.500000,90.000000,top
C15,22pF,C0805,98.600000,-139.500000,90.000000,top
C16,22pF,C0805,98.600000,-147.500000,90.000000,top
C20,100nF,C0402,97.500000,-179.500000,0.000000,top
C21,100nF,C0402,103.900000,-178.400000,90.000000,top
C22,10uF,C0805,120.900000,-174.000000,90.000000,top
C23,1uF,C0402,117.300000,-178.800000,90.000000,top
C24,1uF,C0402,97.500000,-187.000000,90.000000,top
C25,100nF,C0402,120.900000,-171.500000,90.000000,top
C26,1uF,C0402,116.000000,-192.500000,0.000000,top
C27,100nF,C0402,97.500000,-176.800000,90.000000,top
C28,100nF,C0402,99.500000,-119.500000,90.000000,top
C29,1uF,C0402,99.500000,-122.000000,90.000000,top
C30,100nF,C0402,112.600000,-124.300000,90.000000,top
C31,100nF,C0402,111.900000,-116.300000,90.000000,top
C32,100nF,C0402,110.700000,-116.300000,90.000000,top
C33,100nF,C0402,105.700000,-116.300000,90.000000,top
C34,100nF,C0402,106.900000,-116.300000,90.000000,top
C35,100nF,C0402,103.450000,-147.400000,-90.000000,top
C36,100nF,C0402,102.800000,-145.200000,-90.000000,top
C37,1uF,C0402,99.500000,-136.500000,90.000000,top
C38,10uF,C0805,118.500000,-141.000000,0.000000,top
C39,100nF,C0402,118.500000,-143.500000,0.000000,top
C40,10uF,C0805,115.500000,-148.200000,90.000000,top
C41,100nF,C0402,103.600000,-132.500000,0.000000,top
C42,100nF,C0402,103.600000,-130.000000,0.000000,top
C43,100nF,C0402,115.500000,-145.500000,90.000000,top
C44,100nF,C0402,97.100000,-148.600000,90.000000,top
C45,10uF,C0805,118.500000,-146.500000,90.000000,top
C46,10uF,C0805,118.500000,-150.500000,90.000000,top
C47,100nF,C0402,106.000000,-145.500000,90.000000,top
C48,100nF,C0402,108.000000,-145.500000,90.000000,top
C49,100nF,C0402,110.000000,-145.500000,90.000000,top
C50,100nF,C0402,112.000000,-145.500000,90.000000,top
C51,1uF,C0402,115.500000,-132.500000,90.000000,top
C52,100nF,C0402,115.500000,-130.000000,90.000000,top
C53,10uF,C0805,101.500000,-158.100000,90.000000,top
C54,1uF,C0402,101.500000,-160.600000,90.000000,top
C55,100nF,C0402,105.900000,-150.200000,0.000000,top
C56,100nF,C0402,115.600000,-182.000000,90.000000,top
D1,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,98.000000,-189.500000,0.000000,top
D2,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,101.750000,-189.500000,0.000000,top
D10,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,103.500000,-115.500000,0.000000,top
D11,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,103.600000,-187.000000,0.000000,top
D12,TPD4E05U06DQAR_C138714,USON-10_L2.5-W1.0-P0.50-BL,111.900000,-112.200000,0.000000,top
D13,TPD4E05U06DQAR_C138714,USON-10_L2.5-W1.0-P0.50-BL,107.000000,-112.200000,0.000000,top
D14,TPD4E05U06DQAR_C138714,USON-10_L2.5-W1.0-P0.50-BL,106.600000,-184.000000,0.000000,top
D15,TPD4E05U06DQAR_C138714,USON-10_L2.5-W1.0-P0.50-BL,110.400000,-184.000000,0.000000,top
J1,TYPE-C24PQT,USB-C-SMD_TYPE-C-24P-QT,109.000000,-104.100000,180.000000,top
J2,TYPE-C24PQT,USB-C-SMD_TYPE-C-24P-QT,109.000000,-191.900000,0.000000,top
L1,3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,120.000000,-158.600000,0.000000,top
L2,3.3uH,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,118.500000,-137.500000,0.000000,top
R1,10k,R0402,120.900000,-179.400000,90.000000,top
R2,4.7k,R0402,97.800000,-169.300000,90.000000,top
R3,4.7k,R0402,97.800000,-172.000000,90.000000,top
R4,4.7k,R0402,97.800000,-174.700000,90.000000,top
R8,47k,R0603,116.000000,-190.000000,90.000000,top
R9,10k,R0402,116.300000,-186.000000,90.000000,top
R10,1k,R0402,99.000000,-186.500000,0.000000,top
R11,1k,R0402,101.300000,-186.500000,0.000000,top
R12,33,R0402,120.900000,-162.200000,90.000000,top
R13,1k,R0402,114.800000,-158.500000,90.000000,top
R14,910k,R0402,118.500000,-122.500000,90.000000,top
R15,200k,R0402,118.500000,-125.000000,90.000000,top
R16,20k,R0402,99.500000,-130.500000,90.000000,top
R17,47k,R0603,99.000000,-133.500000,90.000000,top
R18,100k,R0402,101.500000,-133.500000,90.000000,top
R19,47k,R0603,117.500000,-130.500000,90.000000,top
R20,100k,R0402,119.500000,-130.500000,90.000000,top
R21,10k,R0402,118.350000,-132.699999,90.000000,top
R22,10k,R0402,119.500000,-133.000000,90.000000,top
R23,10k,R0402,108.600000,-150.000000,0.000000,top
R24,10k,R0402,108.600000,-152.000000,0.000000,top
R25,100k,R0402,113.800000,-182.000000,90.000000,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,100.500000,-164.000000,0.000000,top
