Designator,Comment,Footprint,Qty,LCSC Part,MPN
C1,10uF,C0805,1,C15850,GRM21BZ71E106KE15K
"C2,C8",1uF,C0402,2,C52923,GRM155Z71A105KE01D
"C3,C4,C5",4.7uF,C0402,3,C368809,CL05A475KP5NRNC
"C6,C7",22pF,C0402,2,C70464,GCM1555C1H220FA16D
"C9,C10,C11,C12,C13,C14",100nF,C0402,6,C1525,CL05B104KO5NNNC
"D1,D2",Red LED,LED0603,2,C2286,KT-0603R
D3,USBLC6-2SC6,SOT-23-6,1,C7519,USBLC6-2SC6
J1,USB-C 16P,TYPE-C-31-M-12,1,C165948,TYPE-C-31-M-12
J2,"Shrouded IDC box header 2x3 2.54mm",DC3_2x3_THT,1,C11214,2.54-2*3P
L1,3.3uH,IND-SMD_L2.0-W1.6,1,C42411119,AOTA-B201610S3R3-101-T
"R1,R2,R4",5.1k,R0402,3,C25905,0402WGF5101TCE
"R3,R6,R7,R8,R11",33R,R0402,5,C25105,0402WGF330JTCE
"R5,R9,R10",1k,R0402,3,C11702,0402WGF1001TCE
SW1,Tactile button,SW-SMD_L5.1-W5.1,1,C318884,TS-1187A-B-A-B
U1,RP2354A,QFN-60_P0.40_EP3.4,1,C41378174,RP2354A
U2,RT9013-33GB,SOT-23-5,1,C47773,RT9013-33GB
Y1,12MHz,CRYSTAL-SMD_4P-L3.2-W2.5,1,C9002,X322512MSB4SI
