Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,GRM21BZ71E106KE15K,C_0805_2012Metric,102.200000,-115.040100,90.000000,top
C2,GRM155Z71A105KE01D,C_0402_1005Metric,102.200000,-118.040100,90.000000,top
C3,4.7uF,C_0402_1005Metric,102.200000,-120.250100,90.000000,top
C4,4.7uF,C_0402_1005Metric,110.600000,-125.825100,0.000000,top
C5,4.7uF,C_0402_1005Metric,114.600000,-117.630100,90.000000,top
C6,GCM1555C1H220FA16D,C_0402_1005Metric,107.200000,-123.075100,90.000000,top
C7,GCM1555C1H220FA16D,C_0402_1005Metric,108.600000,-123.075100,90.000000,top
C8,GRM155Z71A105KE01D,C_0402_1005Metric,114.800000,-123.075100,90.000000,top
C9,GCM155R71H104KE02D,C_0402_1005Metric,102.200000,-122.460100,90.000000,top
C10,GCM155R71H104KE02D,C_0402_1005Metric,114.600000,-119.840100,90.000000,top
C11,GCM155R71H104KE02D,C_0402_1005Metric,114.600000,-113.210100,90.000000,top
C12,GCM155R71H104KE02D,C_0402_1005Metric,114.600000,-115.420100,90.000000,top
C13,GCM155R71H104KE02D,C_0402_1005Metric,105.300000,-112.910100,0.000000,top
C14,GCM155R71H104KE02D,C_0402_1005Metric,110.700000,-112.910100,0.000000,top
D1,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,101.900000,-130.720100,90.000000,top
D2,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,114.500000,-130.720000,90.000000,top
D3,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,108.000000,-111.691100,0.000000,top
J1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,108.000000,-105.090000,180.000000,top
J2,2.54-2*3P,IDC-Header_2x03_P2.54mm_Vertical,108.000000,-138.550000,90.000000,top
L1,AOTA-B201610S3R3-101-T,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,112.300000,-122.965100,0.000000,top
R1,ERJ-2RKF5101X,R_0402_1005Metric,111.400000,-110.520100,0.000000,top
R2,ERJ-2RKF5101X,R_0402_1005Metric,105.000000,-110.520100,180.000000,top
R3,ERJ-2RKF33R0X,R_0402_1005Metric,113.600000,-125.835100,0.000000,top
R4,ERJ-2RKF5101X,R_0402_1005Metric,110.100000,-123.095100,90.000000,top
R5,ERJ-2RKF1001X,R_0402_1005Metric,114.600000,-110.980100,90.000000,top
R6,ERJ-2RKF33R0X,R_0402_1005Metric,103.700000,-132.725100,0.000000,top
R7,ERJ-2RKF33R0X,R_0402_1005Metric,105.800000,-132.725100,0.000000,top
R8,ERJ-2RKF33R0X,R_0402_1005Metric,107.900000,-132.725100,0.000000,top
R9,ERJ-2RKF1001X,R_0402_1005Metric,101.900000,-128.295100,90.000000,top
R10,ERJ-2RKF1001X,R_0402_1005Metric,114.500000,-128.300000,90.000000,top
R11,ERJ-2RKF33R0X,R_0402_1005Metric,110.000000,-132.725100,0.000000,top
SW1,TS-1187A-B-A-B,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,108.000000,-129.315100,0.000000,top
U1,RP2354A,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,108.000000,-117.812600,0.000000,top
U2,RT9013-33GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,102.204500,-111.500100,90.000000,top
Y1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,104.700000,-123.570100,0.000000,top
